GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MemberManipulation,com.cg.membermanipulation.MemberManipulation.exception,CustomExceptionHandler,32,3,0,0,7,1,3,1,3,1
MemberManipulation,com.cg.membermanipulation.MemberManipulation.exception,AddressNotValidException,4,0,0,0,2,0,1,0,1,0
MemberManipulation,com.cg.membermanipulation.MemberManipulation,MemberManipulationApplication,5,3,0,0,2,1,1,1,1,1
MemberManipulation,com.cg.membermanipulation.MemberManipulation.controller,MemberController,6,38,1,1,1,9,1,5,0,5
MemberManipulation,com.cg.membermanipulation.MemberManipulation.model,Member,0,36,0,0,0,16,0,8,0,8
